,right,cam,ctm,cam_time,ctm_time,rate
100,1,0,17013,-1366.2601821422577,-351.0239713191986,0.25429799426934097
101,1,0,17012,-1366.2601821422577,-351.0239713191986,0.25429799426934097
102,1,0,17011,-1366.2601821422577,-351.0239713191986,0.25429799426934097
103,1,0,17010,-1366.2601821422577,-351.0239713191986,0.25429799426934097
104,1,0,17009,-1366.2601821422577,-351.0239713191986,0.25429799426934097
105,1,0,17008,-1366.2601821422577,-351.0239713191986,0.25429799426934097
106,1,0,17007,-1366.2601821422577,-351.0239713191986,0.25429799426934097
107,1,0,17006,-1366.2601821422577,-351.0239713191986,0.25429799426934097
108,1,0,17005,-1366.2601821422577,-351.0239713191986,0.25429799426934097
109,1,0,17003,-1366.2601821422577,-351.0239713191986,0.25429799426934097
110,1,0,16993,-1366.2601821422577,-351.0239713191986,0.25429799426934097
111,1,0,17002,-1366.2601821422577,-351.0239713191986,0.25429799426934097
112,1,0,17001,-1366.2601821422577,-351.0239713191986,0.25429799426934097
113,1,0,17000,-1366.2601821422577,-351.0239713191986,0.25429799426934097
114,1,0,16999,-1366.2601821422577,-351.0239713191986,0.25429799426934097
115,1,0,16998,-1366.2601821422577,-351.0239713191986,0.25429799426934097
116,1,0,16997,-1366.2601821422577,-351.0239713191986,0.25429799426934097
117,1,0,16996,-1366.2601821422577,-351.0239713191986,0.25429799426934097
118,0,0,16995,-1366.2601821422577,-351.0239713191986,0.25429799426934097
119,1,0,16994,-1366.2601821422577,-351.0239713191986,0.25429799426934097
120,1,0,17014,-1366.2601821422577,-351.0239713191986,0.25429799426934097
121,0,0,17004,-1366.2601821422577,-351.0239713191986,0.25429799426934097
122,1,0,17015,-1366.2601821422577,-351.0239713191986,0.25429799426934097
123,1,0,17028,-1366.2601821422577,-351.0239713191986,0.25429799426934097
124,1,0,17037,-1366.2601821422577,-351.0239713191986,0.25429799426934097
125,1,0,17036,-1366.2601821422577,-351.0239713191986,0.25429799426934097
126,1,0,17035,-1366.2601821422577,-351.0239713191986,0.25429799426934097
127,1,0,17034,-1366.2601821422577,-351.0239713191986,0.25429799426934097
128,0,0,17033,-1366.2601821422577,-351.0239713191986,0.25429799426934097
129,1,0,17032,-1366.2601821422577,-351.0239713191986,0.25429799426934097
130,1,0,17031,-1366.2601821422577,-351.0239713191986,0.25429799426934097
131,1,0,17030,-1366.2601821422577,-351.0239713191986,0.25429799426934097
132,1,0,17029,-1366.2601821422577,-351.0239713191986,0.25429799426934097
133,1,0,17027,-1366.2601821422577,-351.0239713191986,0.25429799426934097
134,0,0,17017,-1366.2601821422577,-351.0239713191986,0.25429799426934097
135,1,0,17026,-1366.2601821422577,-351.0239713191986,0.25429799426934097
136,1,0,17025,-1366.2601821422577,-351.0239713191986,0.25429799426934097
137,1,0,17024,-1366.2601821422577,-351.0239713191986,0.25429799426934097
138,1,0,17023,-1366.2601821422577,-351.0239713191986,0.25429799426934097
139,1,0,17022,-1366.2601821422577,-351.0239713191986,0.25429799426934097
