,right,cam,ctm,rate,cam_time,ctm_time,overtime
77,1,360,10691,,-43411.258904218674,-43411.22018313408,1
78,1,0,4610,,-43411.258904218674,-43411.22018313408,1
79,1,271,13820,,-43411.258904218674,-43411.22018313408,1
80,1,282,13601,,-43411.258904218674,-43411.22018313408,1
81,1,0,7514,,-43411.258904218674,-43411.22018313408,1
82,1,330,12165,,-43411.258904218674,-43411.22018313408,1
83,1,333,12050,,-43411.258904218674,-43411.22018313408,1
84,1,370,10109,,-43411.258904218674,-43411.22018313408,1
85,0,353,11094,,-43411.258904218674,-43411.22018313408,1
86,0,471,3016,,-43411.258904218674,-43411.22018313408,1
87,0,0,2544,,-43411.258904218674,-43411.22018313408,1
88,1,0,10172,,-43411.258904218674,-43411.22018313408,1
89,1,310,12896,,-43411.258904218674,-43411.22018313408,1
90,1,337,11839,,-43411.258904218674,-43411.22018313408,1
91,1,0,6339,,-43411.258904218674,-43411.22018313408,1
92,1,323,12448,,-43411.258904218674,-43411.22018313408,1
93,1,0,6296,,-43411.258904218674,-43411.22018313408,1
94,1,0,9031,,-43411.258904218674,-43411.22018313408,1
95,1,448,4539,,-43411.258904218674,-43411.22018313408,1
96,1,354,11034,,-43411.258904218674,-43411.22018313408,1
97,1,525,906,,-43411.258904218674,-43411.22018313408,1
98,1,290,13408,,-43411.258904218674,-43411.22018313408,1
99,1,343,11578,,-43411.258904218674,-43411.22018313408,1
100,1,414,7116,,-43411.258904218674,-43411.22018313408,1
101,1,487,2198,,-43411.258904218674,-43411.22018313408,1
102,1,94,14825,,-43411.258904218674,-43411.22018313408,1
103,1,0,10153,,-43411.258904218674,-43411.22018313408,1
104,1,13,15029,,-43411.258904218674,-43411.22018313408,1
105,1,292,13375,,-43411.258904218674,-43411.22018313408,1
106,1,168,14592,,-43411.258904218674,-43411.22018313408,1
107,1,275,13729,,-43411.258904218674,-43411.22018313408,1
108,1,489,2124,,-43411.258904218674,-43411.22018313408,1
109,1,0,12392,,-43411.258904218674,-43411.22018313408,1
110,1,455,4022,,-43411.258904218674,-43411.22018313408,1
111,1,0,12641,,-43411.258904218674,-43411.22018313408,1
112,1,494,1899,,-43411.258904218674,-43411.22018313408,1
113,1,0,2492,,-43411.258904218674,-43411.22018313408,1
114,1,280,13636,,-43411.258904218674,-43411.22018313408,1
115,1,387,9097,,-43411.258904218674,-43411.22018313408,1
116,1,508,1357,,-43411.258904218674,-43411.22018313408,1
117,1,0,5599,,-43411.258904218674,-43411.22018313408,1
118,0,0,3952,,-43411.258904218674,-43411.22018313408,1
119,0,552,462,,-43411.258904218674,-43411.22018313408,1
120,1,313,12807,,-43411.258904218674,-43411.22018313408,1
121,1,0,6385,,-43411.258904218674,-43411.22018313408,1
122,1,374,9916,,-43411.258904218674,-43411.22018313408,1
123,1,0,12670,,-43411.258904218674,-43411.22018313408,1
124,1,0,11082,,-43411.258904218674,-43411.22018313408,1
125,0,0,4950,,-43411.258904218674,-43411.22018313408,1
126,1,341,11670,,-43411.258904218674,-43411.22018313408,1
127,1,0,6529,,-43411.258904218674,-43411.22018313408,1
128,0,0,2876,,-43411.258904218674,-43411.22018313408,1
129,1,0,4626,,-43411.258904218674,-43411.22018313408,1
130,1,396,8501,,-43411.258904218674,-43411.22018313408,1
131,1,128,14732,,-43411.258904218674,-43411.22018313408,1
132,1,0,7952,,-43411.258904218674,-43411.22018313408,1
133,1,0,12113,,-43411.258904218674,-43411.22018313408,1
134,1,0,10316,,-43411.258904218674,-43411.22018313408,1
135,1,0,6900,,-43411.258904218674,-43411.22018313408,1
136,1,85,14858,,-43411.258904218674,-43411.22018313408,1
137,1,0,9389,,-43411.258904218674,-43411.22018313408,1
138,1,0,9394,,-43411.258904218674,-43411.22018313408,1
139,0,0,8632,,-43411.258904218674,-43411.22018313408,1
140,1,0,7969,,-43411.258904218674,-43411.22018313408,1
141,1,0,13581,,-43411.258904218674,-43411.22018313408,1
142,1,211,14408,,-43411.258904218674,-43411.22018313408,1
143,1,189,14505,,-43411.258904218674,-43411.22018313408,1
144,1,381,9485,,-43411.258904218674,-43411.22018313408,1
145,0,0,6555,,-43411.258904218674,-43411.22018313408,1
146,1,372,10018,,-43411.258904218674,-43411.22018313408,1
147,0,0,4025,,-43411.258904218674,-43411.22018313408,1
148,0,473,2915,,-43411.258904218674,-43411.22018313408,1
149,1,38,14969,,-43411.258904218674,-43411.22018313408,1
150,1,504,1537,,-43411.258904218674,-43411.22018313408,1
151,1,0,10914,,-43411.258904218674,-43411.22018313408,1
152,1,0,7970,,-43411.258904218674,-43411.22018313408,1
153,1,0,6455,,-43411.258904218674,-43411.22018313408,1
154,1,0,8658,,-43411.258904218674,-43411.22018313408,1
155,1,218,14371,,-43411.258904218674,-43411.22018313408,1
156,1,0,9127,,-43411.258904218674,-43411.22018313408,1
157,1,0,11072,,-43411.258904218674,-43411.22018313408,1
158,0,492,1996,,-43411.258904218674,-43411.22018313408,1
159,1,12,15032,,-43411.258904218674,-43411.22018313408,1
160,1,0,8289,,-43411.258904218674,-43411.22018313408,1
161,1,0,7887,,-43411.258904218674,-43411.22018313408,1
162,0,0,6593,,-43411.258904218674,-43411.22018313408,1
163,1,0,7439,,-43411.258904218674,-43411.22018313408,1
164,0,0,5081,,-43411.258904218674,-43411.22018313408,1
165,1,0,5027,,-43411.258904218674,-43411.22018313408,1
166,1,0,4632,,-43411.258904218674,-43411.22018313408,1
167,0,340,11684,,-43411.258904218674,-43411.22018313408,1
168,1,0,8308,,-43411.258904218674,-43411.22018313408,1
169,1,0,10317,,-43411.258904218674,-43411.22018313408,1
170,1,395,8567,,-43411.258904218674,-43411.22018313408,1
171,1,0,8466,,-43411.258904218674,-43411.22018313408,1
172,1,338,11810,,-43411.258904218674,-43411.22018313408,1
173,1,0,4836,,-43411.258904218674,-43411.22018313408,1
174,1,349,11298,,-43411.258904218674,-43411.22018313408,1
175,1,266,13881,,-43411.258904218674,-43411.22018313408,1
176,1,513,1192,,-43411.258904218674,-43411.22018313408,1
177,1,0,8411,,-43411.258904218674,-43411.22018313408,1
178,1,495,1842,,-43411.258904218674,-43411.22018313408,1
179,1,0,11303,,-43411.258904218674,-43411.22018313408,1
180,1,0,14823,,-43411.258904218674,-43411.22018313408,1
181,1,0,9750,,-43411.258904218674,-43411.22018313408,1
182,1,0,11295,,-43411.258904218674,-43411.22018313408,1
183,1,312,12835,,-43411.258904218674,-43411.22018313408,1
