,right,cam,ctm,cam_time,ctm_time,rate
142,1,0,3396,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
143,1,0,3395,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
144,1,0,3394,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
145,1,0,3393,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
146,1,0,3392,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
147,1,0,3391,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
148,1,0,3390,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
149,1,0,3389,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
150,1,0,3388,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
151,1,0,3387,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
152,1,0,3386,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
153,1,0,3385,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
154,1,0,3363,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
155,1,0,3285,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
156,1,0,3284,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
157,1,0,3283,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
158,1,0,3185,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
159,1,0,3184,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
160,1,0,3183,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
161,1,0,3182,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
162,1,0,3181,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
163,1,0,3180,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
164,1,0,3179,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
165,1,0,3177,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
166,1,0,3169,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
167,1,0,3176,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
168,1,0,3175,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
169,1,0,3174,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
170,1,0,3173,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
171,1,0,3172,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
172,1,0,3171,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
173,1,0,3170,-7.4406092166900635,-2.7054760456085205,0.01937984496124031
